674;bunker;5019.00;10.07;311.00;1.67;0
674;supply_node;5013.00;9.90;285.00;1.41;0
674;supply_node;5029.00;10.70;321.00;5.82;0
12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
77;floating_harbor;3256.43;9.50;1385.24;-1.98;11597
85;floating_harbor;3111.82;9.50;1613.88;-0.98;362
118;floating_harbor;2724.95;9.50;1247.05;-2.36;4135
126;floating_harbor;2819.00;9.50;1562.00;-1.49;11374
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
163;floating_harbor;3039.36;9.50;1389.79;-4.39;3943
188;floating_harbor;3126.36;9.50;1636.21;1.25;3288
281;floating_harbor;3939.33;9.50;745.97;0.10;4967
299;floating_harbor;1886.63;9.50;86.47;0.67;12960
310;floating_harbor;1989.23;9.50;954.65;-0.84;12885
311;floating_harbor;1433.00;9.50;1146.00;-1.57;2077
320;floating_harbor;4059.79;9.50;838.30;-1.82;10149
321;floating_harbor;3950.21;9.50;892.30;-4.47;1273
326;floating_harbor;4586.00;9.50;1004.00;-3.14;10062
337;floating_harbor;2695.00;9.50;1789.00;-2.36;13003
360;floating_harbor;1647.00;9.50;1506.00;-2.68;6845
455;floating_harbor;3340.00;9.50;1103.00;-3.52;4115
488;floating_harbor;1862.88;9.50;1010.82;-0.59;1981
614;floating_harbor;4649.90;9.50;1295.15;-1.41;11944
631;floating_harbor;32.00;9.50;1109.00;-3.14;13052
638;floating_harbor;5086.00;9.50;847.00;-2.02;12140
645;floating_harbor;5020.00;9.50;1038.00;-3.07;13025
648;floating_harbor;5205.00;9.50;1041.00;1.57;13026
649;floating_harbor;1372.00;9.50;836.00;1.57;5023
656;floating_harbor;3562.96;9.50;1135.77;-1.46;8085
678;floating_harbor;3612.57;9.50;1049.82;-0.23;4932
695;floating_harbor;1708.21;9.50;1071.70;1.33;153
696;floating_harbor;1820.05;9.50;1405.05;-3.93;13010
697;floating_harbor;2532.00;9.50;1191.00;1.57;3118
698;floating_harbor;2414.70;9.50;1279.96;-1.87;1751
702;floating_harbor;2400.92;9.50;928.81;0.81;13014
703;floating_harbor;2585.00;9.50;571.00;-1.63;13013
1;floating_harbor;2961.26;9.50;1363.87;-2.03;9851
2;floating_harbor;2989.05;9.50;1354.05;-3.93;11751
5;floating_harbor;3111.84;9.50;1614.40;-0.42;3380
6;floating_harbor;2848.18;9.50;1546.88;0.98;6560
7;floating_harbor;2883.00;9.50;1587.00;0.00;3314
13;floating_harbor;3177.87;9.50;1690.74;-3.61;3174
14;floating_harbor;2765.00;9.50;1497.00;0.00;9525
15;floating_harbor;2775.18;9.50;1498.88;0.98;9550
19;floating_harbor;2769.00;9.50;1438.00;0.97;9737
21;floating_harbor;2884.05;9.50;1380.05;-3.93;11834
22;floating_harbor;2871.13;9.50;1381.74;-2.68;9898
29;floating_harbor;2816.00;9.50;1519.00;-4.33;9500
30;floating_harbor;2763.74;9.50;1459.87;-4.25;11465
31;floating_harbor;2861.00;9.50;1380.00;-1.57;3946
35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
36;floating_harbor;2901.01;9.50;1595.93;0.14;9335
37;floating_harbor;3004.64;9.50;1626.79;-1.89;6393
38;floating_harbor;3080.37;9.50;1758.47;-0.67;11091
